no,link,Game,Track title,Franchise,Year,Platform,Company,number of tags,tag meter,tag tonality,arpeggiated,tag reverb,tag drums,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15,tag 16,tag 17,tag 18,tag 19,tag 20,tag 21,tag 22,tag 23,tag 24,tag 25,tag 26,tag 27,tag 28,tag 29,tag 30
28,link,Ristar the Shooting Star,"""Ring Rink, Planet Freon""",n/a,1995,Sega Genesis:Sega,Sega,11,4,major:majorish,--,high reverb,rock,chimes:metallic_percussion,,synth_lead:synth,80s,chiptune,glockenspiel:metallic_percussion,synth_brass:synth,,,,,,,,,,,,,,,,,,,,,,,
29,link,Super Mario Odyssey,"""Shiveria: Race Course Entrance""",Mario,2017,Nintendo Switch:Nintendo,Nintendo,12,12,major:majorish,--,low reverb,jig,sleigh_bells:metallic_percussion,pennywhistle:woodwinds,glockenspiel:metallic_percussion,bagpipes,snare:drums,accordion,violin,,,,,,,,,,,,,,,,,,,,,,,
30,link,Super Mario 3D Land,"""Snowball Park""",Mario,2011,Nintendo 3DS:Nintendo,Nintendo,15,4,major:majorish,--,high reverb,no_drums,sleigh_bells:metallic_percussion,flute:woodwinds,clarinet:woodwinds,electric_piano,horn:brass,strings,marimba,accordion,oboe:woodwinds,orchestra,,,,,,,,,,,,,,,,,,,,
31,link,Super Mario 64,"""Cool, Cool Mountain""",Mario,1996,Nintendo 64:Nintendo,Nintendo,9,4,major:majorish,--,high reverb,no_drums,sleigh_bells:metallic_percussion,accordion,horn:brass,mandolin:plucked_strings,,,,,,,,,,,,,,,,,,,,,,,,,,
32,link,Mother 3,"""White""",Mother,2006,Nintendo GameBoy Advance:Nintendo,Nintendo,9,12,major:majorish,--,high reverb,no_drums,sleigh_bells:metallic_percussion,electric_piano,synth:synth,electric_bass:bass,,,,,,,,,,,,,,,,,,,,,,,,,,
33,link,Donkey Kong Country,"""Ice Cave Chant""",Donkey Kong,1994,SNES:Nintendo,Rare,10,4,mixolydian:majorish,arpeggiated,high reverb,no_drums,glockenspiel:metallic_percussion,harp:plucked_strings,strings,xylophone,acoustic_bass:bass,,,,,,,,,,,,,,,,,,,,,,,,,
34,link,Mario Party 3,"""Chilly-Chilly Lake""",Mario,2000,Nintendo 64:Nintendo,Nintendo,13,3,major:majorish,--,high reverb,jazz waltz,synth_bass:bass,electric_piano,clarinet:woodwinds,shaker:auxiliary_percussion,wind_chimes:metallic_percussion,sleigh_bells:metallic_percussion,violin,drumset:drums,,,,,,,,,,,,,,,,,,,,,,
35,link,Kirby Triple Deluxe,"""Silver Snow Story""",Kirby,2014,Nintendo 3DS:Nintendo,Nintendo,16,4,major:majorish,arpeggiated,high reverb,EDM,sleigh_bells:metallic_percussion,glockenspiel:metallic_percussion,piano,vibraphone:metallic_percussion,synth_bass:bass,chimes:metallic_percussion,marimba,offbeat_8ths,treble_vocals:vocals,horn:brass,violin,,,,,,,,,,,,,,,,,,,
36,link,Atelier Totori: The Adventurer of Arland,"""Hepatica""",Atelier,2010,PlayStation 3:Sony,"Gust Co., Ltd.",14,4,major:majorish,arpeggiated,low reverb,light_drums,triangle:metallic_percussion,xylophone,glockenspiel:metallic_percussion,piano,sleigh_bells:metallic_percussion,pizz_strings:plucked_strings,harp:plucked_strings,bass_drum:drums,wind_chimes:metallic_percussion,,,,,,,,,,,,,,,,,,,,,
37,link,Monster Hunter Freedom Unite,"""Pokke Village""",Monster Hunter,2008,PlayStation Portable:Sony,Capcom,11,4,major:majorish,arpeggiated,high reverb,,acoustic_guitar:plucked_strings,strings,tambourine:metallic_percussion,shaker:auxiliary_percussion,maracas:auxiliary_percussion,shakuhachi:woodwinds,hand_drums:drums,,,,,,,,,,,,,,,,,,,,,,,
38,link,Paper Mario,"""Cold Reception""",Mario,2000,Nintendo 64:Nintendo,Nintendo,14,4,major:majorish,arpeggiated,high reverb,rock,treble_vocals:vocals,glockenspiel:metallic_percussion,xylophone,sleigh_bells:metallic_percussion,flute:woodwinds,pizz_strings:plucked_strings,gliss,drumset:drums,marimba,,,,,,,,,,,,,,,,,,,,,
39,link,Banjo-Kazooie,"""Freezeezy Peak""",Banjo-Kazooie,1998,Nintendo 64:Nintendo,Rare,16,4,major:majorish,--,low reverb,polka,strings,sleigh_bells:metallic_percussion,wind_effect,timpani:drums,horn:brass,flute:woodwinds,saxophone:woodwinds,bassoon:woodwinds,celesta:metallic_percussion,piccolo:woodwinds,Christmas,,,,,,,,,,,,,,,,,,,
40,link,Kirby 64: The Crystal Shards,"""Shiver Star""",Kirby,2000,Nintendo 64:Nintendo,Nintendo,15,4,major:majorish,arpeggiated,low reverb,rock,80s,synth_bass:bass,glockenspiel:metallic_percussion,clarinet:woodwinds,brass:brass,pan_flute:woodwinds,sleigh_bells:metallic_percussion,strings,chimes:metallic_percussion,rapid_bass_line,,,,,,,,,,,,,,,,,,,,
41,link,Pokémon Diamond/Pearl,"""Route 216""",Pokémon,2006,Nintendo DS:Nintendo,Game Freak,14,4,major:majorish,arpeggiated,high reverb,shuffle,saxophone:woodwinds,synth_bass:bass,electric_piano,piano,sleigh_bells:metallic_percussion,chimes:metallic_percussion,strings,synth_lead:synth,electric_organ,,,,,,,,,,,,,,,,,,,,,
42,link,Super Smash Brothers Melee,"""Icicle Mountain""",Super Smash Bros.,2001,Nintendo GameCube:Nintendo,Nintendo,19,4,major:majorish,--,high reverb,jazz,piano,extended_tertian,electric_piano,strings,synth_bass:bass,drumset:drums,sweeps,sleigh_bells:metallic_percussion,synth_lead:synth,brass:brass,electric_guitar,walking_bass,80s,rapid_bass_line,,,,,,,,,,,,,,,,
43,link,Knight Arms,"""Arsys Christmas Song""",n/a,1989,computer:computer,"Arsys Software, Inc.",11,4,major:majorish,--,high reverb,rock,sleigh_bells:metallic_percussion,electric_guitar,brass:brass,chimes:metallic_percussion,FM:synth,minor_iv,,,,,,,,,,,,,,,,,,,,,,,,
44,link,Super Mario Kart,"""Vanilla Lake""",Mario,1992,SNES:Nintendo,Nintendo,11,4,major:majorish,--,low reverb,son,strings,glockenspiel:metallic_percussion,agogo_bells:metallic_percussion,hand_drums:drums,piano,shaker:auxiliary_percussion,,,,,,,,,,,,,,,,,,,,,,,,
45,link,Mario Kart 64,"""Frappe Snowland""",Mario,1996,Nintendo 64:Nintendo,Nintendo,13,4,major:majorish,arpeggiated,low reverb,no_drums,strings,calliope:woodwinds,vibraphone:metallic_percussion,harpsichord:plucked_strings,clarinet:woodwinds,acoustic_bass:bass,tambourine:metallic_percussion,samba,,,,,,,,,,,,,,,,,,,,,,
46,link,Kirby Air Ride,"""Float Islands""",Kirby,2003,Nintendo GameCube:Nintendo,Nintendo,14,4,major:majorish,--,low reverb,rock,rapid_notes,electric_bass:bass,clavinet,xylophone,chimes:metallic_percussion,electric_organ,strings,pan_flute:woodwinds,drumset:drums,,,,,,,,,,,,,,,,,,,,,
47,link,Kirby Air Ride,"""Frozen Hillside""",Kirby,2003,Nintendo GameCube:Nintendo,Nintendo,16,4,minor:minorish,arpeggiated,high reverb,no_drums,other_vocals:vocals,strings,electric_bass:bass,harpsichord:plucked_strings,sleigh_bells:metallic_percussion,harp:plucked_strings,glockenspiel:metallic_percussion,flute:woodwinds,acoustic_guitar:plucked_strings,cymbals:metallic_percussion,falling_fifths,,,,,,,,,,,,,,,,,,,
48,link,Kirby Air Ride,"""Rainbow Resort""",Kirby,2003,Nintendo GameCube:Nintendo,Nintendo,8,3,major:majorish,arpeggiated,high reverb,,flute:woodwinds,marimba,synth_bass:bass,synth_lead:synth,,,,,,,,,,,,,,,,,,,,,,,,,,
49,link,Kirby and the Amazing Mirror,"""Crystal and Ice""",Kirby,2004,Nintendo GameBoy Advance:Nintendo,Nintendo,13,4,major:majorish,--,high reverb,rock,pizz_strings:plucked_strings,electric_bass:bass,crotales:metallic_percussion,rapid_bass_line,xylophone,electric_piano,synth_lead:synth,drumset:drums,,,,,,,,,,,,,,,,,,,,,,
50,link,Kirby’s Adventure,"""Rainbow Resort""",Kirby,1993,Nintendo Entertainment System:Nintendo,Nintendo,7,4,major:majorish,arpeggiated,low reverb,rock,chiptune,drumset:drums,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,link,Kirby Canvas Curse,"""Frozen Fantasy""",Kirby,2005,Nintendo DS:Nintendo,Nintendo,10,3,major:majorish,arpeggiated,high reverb,,flute:woodwinds,pan_flute:woodwinds,chimes:metallic_percussion,synth_bass:bass,snare:drums,glockenspiel:metallic_percussion,,,,,,,,,,,,,,,,,,,,,,,,
52,link,Baku Bomberman,"""White Ice""",Bomberman,1997,Nintendo 64:Nintendo,Hudson Soft,14,4,major:majorish,arpeggiated,high reverb,shuffle,electric_organ,drumset:drums,electric_bass:bass,pizz_strings:plucked_strings,pan_flute:woodwinds,harp:plucked_strings,gliss,piccolo:woodwinds,square_wave:synth,,,,,,,,,,,,,,,,,,,,,
53,link,Donkey Kong Country,"""Northern Hemispheres""",Donkey Kong,1994,SNES:Nintendo,Rare,14,4,aeolian:minorish,arpeggiated,high reverb,no_drums,strings,harp:plucked_strings,piano,pan_flute:woodwinds,pizz_strings:plucked_strings,bass_drum:drums,field_drum:drums,rapid_notes,flute:woodwinds,,,,,,,,,,,,,,,,,,,,,
54,link,Donkey Kong Country 3,"""Frosty Frolics""",Donkey Kong,1996,SNES:Nintendo,Rare,11,4,aeolian:minorish,arpeggiated,high reverb,,crotales:metallic_percussion,hi-hat:metallic_percussion,electric_bass:bass,rapid_notes,flute:woodwinds,electric_piano,80s,,,,,,,,,,,,,,,,,,,,,,,
55,link,Mother 2,"""Winters""",Mother,1994,SNES:Nintendo,Nintendo,13,4,major:majorish,arpeggiated,low reverb,,electric_piano,pan_flute:woodwinds,sleigh_bells:metallic_percussion,electric_bass:bass,flute:woodwinds,electric_organ,other_vocals:vocals,no_drums,drumset:drums,,,,,,,,,,,,,,,,,,,,,
56,link,Chrono Trigger,"""Singing Mountain""",Chrono,1995,SNES:Nintendo,Square Enix,10,4,minor:minorish,arpeggiated,high reverb,,wind_effect,piano,treble_vocals:vocals,harp:plucked_strings,other_vocals:vocals,no_drums,,,,,,,,,,,,,,,,,,,,,,,,
57,link,The Legend of Zelda: Four Swords,"""Frozen Hyrule""",Zelda,2002,Nintendo GameBoy Advance:Nintendo,Nintendo,14,4,dorian:minorish,arpeggiated,low reverb,no_drums,harp:plucked_strings,pan_flute:woodwinds,strings,sleigh_bells:metallic_percussion,glockenspiel:metallic_percussion,acoustic_bass:bass,snare:drums,trumpet:brass,crotales:metallic_percussion,,,,,,,,,,,,,,,,,,,,,
58,link,Final Fantasy VI,"""Terra’s Theme""",Final Fantasy,1994,SNES:Nintendo,Square Enix,14,4,aeolian:minorish,arpeggiated,high reverb,military,chimes:metallic_percussion,strings,harp:plucked_strings,no_drums,trumpet:brass,flute:woodwinds,horn:brass,oboe:woodwinds,snare:drums,,,,,,,,,,,,,,,,,,,,,
59,link,Fire Emblem: Genealogy of the Holy War,"""Chapter 4""",Fire Emblem,1996,SNES:Nintendo,Nintendo,9,2,dorian:minorish,arpeggiated,low reverb,no_drums,strings,glockenspiel:metallic_percussion,sleigh_bells:metallic_percussion,horn:brass,,,,,,,,,,,,,,,,,,,,,,,,,,
60,link,Trials of Mana,"""Another Winter""",Mana,1995,SNES:Nintendo,Square Enix,11,4,aeolian:minorish,arpeggiated,high reverb,no_drums,marimba,flute:woodwinds,pizz_strings:plucked_strings,vibraphone:metallic_percussion,chimes:metallic_percussion,dorian:minorish,,,,,,,,,,,,,,,,,,,,,,,,
61,link,Chocobo’s Dungeon 2,"""Snow Field""",Final Fantasy,1998,PlayStation:Sony,Square Enix,8,3,major:majorish,arpeggiated,high reverb,no_drums,strings,vibraphone:metallic_percussion,pizz_strings:plucked_strings,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,link,Paper Mario,"""Crystal Palace Crawl""",Mario,2000,Nintendo 64:Nintendo,Nintendo,12,3,aeolian:minorish,arpeggiated,high reverb,,glockenspiel:metallic_percussion,vibraphone:metallic_percussion,marimba,harp:plucked_strings,organ,treble_vocals:vocals,crotales:metallic_percussion,electric_piano,,,,,,,,,,,,,,,,,,,,,,
63,link,Banshee's Last Cry,"""Visions of a Distant Day""",n/a,1994,SNES:Nintendo,Chunsoft,8,4,aeolian:minorish,arpeggiated,high reverb,no_drums,celesta:metallic_percussion,strings,flute:woodwinds,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,link,Revelations: Persona,"""Snow Queen""",Persona,1996,PlayStation:Sony,Atlus,12,6,minor:minorish,arpeggiated,high reverb,no_drums,strings,electric_piano,chimes:metallic_percussion,harp:plucked_strings,celesta:metallic_percussion,lament,glockenflute,,,,,,,,,,,,,,,,,,,,,,,
65,link,Secret of Mana,"""A Bell is Tolling""",Mana,1993,SNES:Nintendo,Square Enix,9,4,phrygian:minorish,arpeggiated,high reverb,no_drums,strings,synth:synth,flute:woodwinds,harp:plucked_strings,,,,,,,,,,,,,,,,,,,,,,,,,,
66,link,Sorcerian,"""Cave I""",Dragon Slayer,1987,computer:computer,Nihon Falcom,14,4,aeolian:minorish,arpeggiated,high reverb,rock,piano,strings,pan_flute:woodwinds,xylophone,80s,rapid_notes,gated_snare:drums,electric_guitar,synth_brass:synth,,,,,,,,,,,,,,,,,,,,,
67,link,Hanjuku Hero,"""Field (Winter)""",Hanjuku Hero,1988,Nintendo Entertainment System:Nintendo,Square Enix,7,12,major:majorish,arpeggiated,low reverb,military,chiptune,snare:drums,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,link,Mōryō Senki MADARA,"""Aurora in the Distance""",Madara,1990,Nintendo Entertainment System:Nintendo,Konami,7,4,minor:minorish,arpeggiated,high reverb,no_drums,chiptune,lament,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,link,Pokémon Diamond/Pearl,"""Mt. Coronet""",Pokémon,2006,Nintendo DS:Nintendo,Game Freak,12,4,dorian:minorish,--,high reverb,rock,piano,electric_piano,strings,drumset:drums,rapid_notes,shaker:auxiliary_percussion,electric_bass:bass,,,,,,,,,,,,,,,,,,,,,,,
70,link,Pokémon Mystery Dungeon: Explorers of Sky,"""Vast Ice Mountain Peak""",Pokémon,2007,Nintendo DS:Nintendo,Chunsoft,16,4,major:majorish,arpeggiated,high reverb,rock,80s,electric_piano,other_vocals:vocals,flute:woodwinds,violin,chimes:metallic_percussion,glockenspiel:metallic_percussion,timpani:drums,chimes:metallic_percussion,lament,synth_bass:bass,,,,,,,,,,,,,,,,,,,
71,link,Soma Bringer,"""Village of Snow""",n/a,2008,Nintendo DS:Nintendo,Monolith Soft,15,4,major:majorish,--,low reverb,--,accordion,xylophone,pizz_strings:plucked_strings,glockenspiel:metallic_percussion,piano,harpsichord:plucked_strings,electric_bass:bass,lament,clarinet:woodwinds,rapid_notes,,,,,,,,,,,,,,,,,,,,
72,link,Final Fantasy Tactics,"""Antidote""",Final Fantasy,1997,PlayStation:Sony,Square Enix,13,12,lydian:majorish,arpeggiated,high reverb,--,harp:plucked_strings,chimes:metallic_percussion,oboe:woodwinds,strings,pizz_strings:plucked_strings,horn:brass,bass_drum:drums,timpani:drums,,,,,,,,,,,,,,,,,,,,,,
73,link,Pokémon Diamond/Pearl,"""Route 216 (Night)""",Pokémon,2006,Nintendo DS:Nintendo,Game Freak,17,12,major:majorish,--,high reverb,shuffle,synth_bass:bass,piano,electric_piano,electric_guitar,tambourine:metallic_percussion,shaker:auxiliary_percussion,drumset:drums,electric_organ,sleigh_bells:metallic_percussion,chimes:metallic_percussion,synth_brass:synth,xylophone,,,,,,,,,,,,,,,,,,
74,link,Captain Toad: Treasure Tracker,"""Star Express""",Mario,2014,Nintendo Wii U:Nintendo,Nintendo,10,4,minor:minorish,--,low reverb,train,sleigh_bells:metallic_percussion,synth_lead:synth,synth:synth,xylophone,square_wave:synth,,,,,,,,,,,,,,,,,,,,,,,,,
75,link,Christmas Nights into Dreams,"""Jack Frost's Chime""",Sonic,1996,Sega Saturn:Sega,Sega,16,4,major:majorish,--,high reverb,rock,pizz_strings:plucked_strings,accordion,drumset:drums,strings,electric_piano,polka,electric_organ,electric_bass:bass,harpsichord:plucked_strings,glockenspiel:metallic_percussion,Christmas,,,,,,,,,,,,,,,,,,,
76,link,F-Zero,"""White Land""",F-Zero,1990,SNES:Nintendo,Nintendo,14,4,major:majorish,arpeggiated,high reverb,rock,slap_bass:bass,electric_piano,drumset:drums,electric_guitar,80s,tambourine:metallic_percussion,claves:auxiliary_percussion,Steely_Dan,half-time,,,,,,,,,,,,,,,,,,,,,
77,link,Gradius Gaiden,"""Snowfield""",n/a,1997,PlayStation:Sony,Konami,10,4,major:majorish,arpeggiated,high reverb,rock,drumset:drums,synth_pad:synth,sweeps,electric_guitar,strings,,,,,,,,,,,,,,,,,,,,,,,,,
78,link,Pop'n TwinBee: Rainbow Bell Adventures,"""Aurora World""",Twinbee,1994,SNES:Nintendo,Konami,11,4,major:majorish,arpeggiated,high reverb,rock,flute:woodwinds,marimba,drumset:drums,electric_bass:bass,strings,treble_vocals:vocals,,,,,,,,,,,,,,,,,,,,,,,,
79,link,The Legend of Xanadu,"""Ice Tower""",Dragon Slayer,1994,TurboGrafx-16:other,Falcom,9,4,minor:minorish,--,high reverb,rock,synth:synth,synth_bass:bass,glockenspiel:metallic_percussion,pizz_strings:plucked_strings,,,,,,,,,,,,,,,,,,,,,,,,,,
80,link,Mega Man 4,"""Dr. Cossack Stage 1""",Mega Man,1991,Nintendo Entertainment System:Nintendo,Capcom,6,4,minor:minorish,arpeggiated,high reverb,rock,no_bass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,link,Mega Man & Bass,"""Coldman Stage""",Mega Man,1998,SNES:Nintendo,Capcom,12,4,minor:minorish,--,high reverb,EDM,vibraphone:metallic_percussion,synth_bass:bass,flute:woodwinds,strings,synth_lead:synth,extended_tertian,lament,,,,,,,,,,,,,,,,,,,,,,,
82,link,Mega Man Zero 2,"""Ice Brain""",Mega Man,2003,Nintendo GameBoy Advance:Nintendo,Capcom,12,4,dorian:minorish,--,high reverb,disco,synth:synth,electric_guitar,drumset:drums,oboe:woodwinds,piano,lament,synth_arp:synth,,,,,,,,,,,,,,,,,,,,,,,
